"event_cohort_name1","event_cohort_name2","event_cohort_name3","event_cohort_name4","index_year","freq"
"donepezil","donepezil+memantine",NA,NA,2000,6
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2004,2
"galantamine",NA,NA,NA,2002,103
"galantamine","donepezil+galantamine",NA,NA,2008,27
"donepezil","donepezil+galantamine",NA,NA,2005,17
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2007,4
"galantamine","galantamine+memantine","galantamine+memantine+rivastigmine",NA,2013,1
"rivastigmine","donepezil+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2004,1
"donepezil+galantamine",NA,NA,NA,2008,5
"galantamine","galantamine+rivastigmine",NA,NA,2015,2
"galantamine","donepezil+galantamine",NA,NA,2005,16
"memantine","donepezil+memantine",NA,NA,1999,1
"rivastigmine","memantine+rivastigmine",NA,NA,2018,20
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2008,4
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2003,2
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2010,14
"galantamine+memantine",NA,NA,NA,2018,4
"donepezil","donepezil+memantine",NA,NA,2020,4
"galantamine","galantamine+memantine",NA,NA,2004,30
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2003,4
"galantamine","galantamine+memantine",NA,NA,2019,6
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2015,5
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2008,1
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2012,8
"donepezil+galantamine",NA,NA,NA,2005,4
"donepezil+rivastigmine",NA,NA,NA,2020,1
"galantamine","galantamine+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2009,1
"donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,NA,2017,1
"rivastigmine","memantine+rivastigmine","donepezil+memantine+rivastigmine",NA,2010,2
"memantine+rivastigmine",NA,NA,NA,2002,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2013,3
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2011,6
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2008,6
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2013,3
"galantamine","galantamine+memantine",NA,NA,2013,38
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2013,3
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2003,1
"rivastigmine","donepezil+rivastigmine",NA,NA,2006,4
"donepezil","donepezil+galantamine",NA,NA,2018,18
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2010,1
"galantamine","galantamine+memantine",NA,NA,2014,23
"galantamine","donepezil+galantamine",NA,NA,2014,7
"donepezil","donepezil+galantamine",NA,NA,2000,9
"galantamine+rivastigmine",NA,NA,NA,2010,1
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2014,3
"donepezil+rivastigmine",NA,NA,NA,2008,4
"rivastigmine",NA,NA,NA,2000,42
"galantamine","galantamine+memantine",NA,NA,2011,42
"donepezil+rivastigmine",NA,NA,NA,2002,2
"rivastigmine","donepezil+rivastigmine",NA,NA,2011,15
"galantamine+rivastigmine",NA,NA,NA,2011,2
"rivastigmine","donepezil+rivastigmine",NA,NA,1998,2
"donepezil","donepezil+memantine","donepezil+galantamine+memantine",NA,2008,1
"rivastigmine","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2008,3
"donepezil","donepezil+galantamine",NA,NA,2007,20
"galantamine","galantamine+memantine",NA,NA,2005,20
"donepezil","donepezil+galantamine",NA,NA,2016,30
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2017,1
"donepezil+galantamine",NA,NA,NA,2013,9
"rivastigmine","donepezil+rivastigmine",NA,NA,2005,7
"galantamine","donepezil+galantamine",NA,NA,2007,17
"memantine+rivastigmine",NA,NA,NA,2014,7
"galantamine","galantamine+memantine",NA,NA,2017,21
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2014,9
"rivastigmine","galantamine+rivastigmine",NA,NA,2005,8
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2012,3
"galantamine","galantamine+memantine","donepezil+galantamine+memantine",NA,2008,1
"memantine","donepezil+memantine",NA,NA,2012,9
"rivastigmine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2018,1
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2006,1
"donepezil","donepezil+galantamine+memantine","donepezil+galantamine+memantine+rivastigmine",NA,2014,1
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2012,1
"memantine","memantine+rivastigmine",NA,NA,2017,6
"rivastigmine","memantine+rivastigmine",NA,NA,2004,5
"galantamine","donepezil+galantamine",NA,NA,2013,8
"donepezil+memantine",NA,NA,NA,2010,13
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2014,18
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2010,1
"rivastigmine","galantamine+rivastigmine",NA,NA,2006,2
"galantamine","donepezil+galantamine",NA,NA,2006,17
"galantamine","galantamine+rivastigmine",NA,NA,2010,10
"donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,NA,2005,1
"galantamine","galantamine+rivastigmine",NA,NA,2003,1
"memantine",NA,NA,NA,2000,6
"rivastigmine","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2004,3
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2018,3
"memantine","donepezil+memantine",NA,NA,2011,8
"rivastigmine","donepezil+rivastigmine",NA,NA,2013,12
"memantine","memantine+rivastigmine",NA,NA,2012,7
"galantamine","galantamine+memantine","galantamine+memantine+rivastigmine",NA,2014,1
"donepezil+memantine",NA,NA,NA,2013,18
"donepezil+rivastigmine",NA,NA,NA,2015,7
"memantine","galantamine+memantine",NA,NA,2017,2
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2017,16
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2018,1
"donepezil+memantine",NA,NA,NA,2017,20
"donepezil","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",NA,2011,1
"rivastigmine","memantine+rivastigmine",NA,NA,2010,38
"rivastigmine","donepezil+rivastigmine",NA,NA,2010,22
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2008,4
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2006,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2017,3
"galantamine","donepezil+galantamine",NA,NA,2010,16
"rivastigmine","donepezil+rivastigmine",NA,NA,2001,1
"rivastigmine","galantamine+rivastigmine",NA,NA,2009,4
"donepezil","donepezil+galantamine",NA,NA,2001,13
"donepezil","donepezil+galantamine+memantine",NA,NA,2014,1
"donepezil+galantamine",NA,NA,NA,2006,4
"rivastigmine","memantine+rivastigmine",NA,NA,2012,49
"rivastigmine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2001,2
"donepezil+rivastigmine",NA,NA,NA,2012,6
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2006,6
"galantamine",NA,NA,NA,1998,5
"memantine","donepezil+memantine",NA,NA,2018,11
"rivastigmine","memantine+rivastigmine",NA,NA,2005,7
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2008,1
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2016,1
"rivastigmine",NA,NA,NA,1996,1
"galantamine","galantamine+memantine","galantamine+memantine+rivastigmine",NA,2006,2
"donepezil+memantine",NA,NA,NA,2018,21
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2015,1
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2000,1
"donepezil","donepezil+galantamine",NA,NA,2002,20
"rivastigmine","donepezil+rivastigmine",NA,NA,1999,1
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2014,8
"rivastigmine","donepezil+rivastigmine",NA,NA,2007,10
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2014,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2008,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2018,3
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2011,2
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2013,2
"galantamine","donepezil+galantamine",NA,NA,2018,4
"galantamine+memantine",NA,NA,NA,2016,3
"galantamine","galantamine+memantine","galantamine+memantine+rivastigmine",NA,2008,1
"memantine+rivastigmine",NA,NA,NA,2013,7
"galantamine","galantamine+rivastigmine","donepezil+galantamine+rivastigmine",NA,2011,3
"donepezil","donepezil+memantine","donepezil+galantamine+memantine",NA,2013,1
"donepezil","donepezil+galantamine+memantine",NA,NA,2002,1
"donepezil+rivastigmine",NA,NA,NA,2018,4
"rivastigmine","memantine+rivastigmine",NA,NA,2020,2
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2009,1
"memantine+rivastigmine",NA,NA,NA,2015,10
"donepezil+galantamine",NA,NA,NA,2007,6
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2012,4
"donepezil","donepezil+rivastigmine",NA,NA,2004,8
"galantamine","galantamine+rivastigmine",NA,NA,2004,4
"donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,NA,2013,1
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2010,2
"rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2014,2
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2016,2
"rivastigmine","galantamine+rivastigmine",NA,NA,2015,4
"memantine+rivastigmine",NA,NA,NA,2019,9
"memantine",NA,NA,NA,1995,1
"memantine","donepezil+memantine",NA,NA,2017,10
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2007,4
"donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,NA,2006,1
"memantine","donepezil+memantine",NA,NA,2019,7
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2008,4
"memantine","donepezil+memantine",NA,NA,2006,1
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2013,3
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2008,4
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2015,1
"galantamine+rivastigmine",NA,NA,NA,2019,1
"donepezil","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",NA,2017,1
"donepezil","donepezil+galantamine",NA,NA,2020,1
"donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",NA,NA,2012,1
"donepezil",NA,NA,NA,1993,2
"donepezil+galantamine",NA,NA,NA,2015,3
"donepezil+memantine+rivastigmine",NA,NA,NA,2015,1
"donepezil+rivastigmine",NA,NA,NA,2011,3
"rivastigmine","galantamine+rivastigmine",NA,NA,2013,3
"donepezil","donepezil+memantine","donepezil+galantamine+memantine",NA,2015,1
"galantamine+memantine",NA,NA,NA,2014,3
"donepezil","donepezil+memantine",NA,NA,1999,7
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2012,1
"galantamine+rivastigmine",NA,NA,NA,2001,1
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2012,3
"galantamine",NA,NA,NA,1999,12
"galantamine","galantamine+rivastigmine",NA,NA,2007,9
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2015,1
"memantine+rivastigmine",NA,NA,NA,2010,4
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2004,3
"galantamine","galantamine+rivastigmine",NA,NA,2018,5
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2008,6
"galantamine","galantamine+rivastigmine",NA,NA,2011,5
"donepezil+memantine",NA,NA,NA,2006,3
"donepezil+galantamine",NA,NA,NA,2014,8
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2012,2
"donepezil+galantamine",NA,NA,NA,2003,3
"donepezil","donepezil+memantine","donepezil+galantamine+memantine",NA,2002,1
"galantamine","galantamine+rivastigmine",NA,NA,2002,1
"galantamine","galantamine+rivastigmine","donepezil+galantamine+rivastigmine",NA,2008,2
"donepezil",NA,NA,NA,1995,5
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2015,1
"memantine","donepezil+memantine",NA,NA,2002,2
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2005,1
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2001,4
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2005,1
"rivastigmine","galantamine+rivastigmine",NA,NA,2008,1
"rivastigmine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2004,1
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2009,9
"memantine","galantamine+memantine",NA,NA,2013,1
